anime_name,anime_review
Шутки чокнутой столицы (2012),"6,9"
Шутки чокнутой столицы,"7,9"
Хана и Алиса: Дело об убийстве,"6,5"
Труп под ногами Сакурако,"8,6"
"Я не понимаю, что говорит мой муж 2","8,2"
"Я не понимаю, что говорит мой муж","7,9"
Ежемесячное сёдзё Нодзаки,"8,2"
Рассвет Йоны OVA,"9,0"
Рассвет Йоны,"8,9"
Записи о магии: Девочка-волшебница Мадока★Волшебство — Гайдэн. Финал,"7,5"
Книга магии для начинающих с нуля,"8,3"
Последний призыватель,"6,9"
Обручённые кукушками,"7,6"
Живая любовь! Клуб идолов старшей школы Нидзигасаки 2,"6,5"
Летнее время,"9,3"
Птичье крыло: История гольфисток,"7,4"
Она и её кот: Всё меняется,"9,1"
Аоаси,"9,1"
Этот хилер меня бесит!,"6,1"
Царство 4,"9,3"
Тайна куноити Цубаки,"6,7"
Семья шпиона,"9,2"
"Танцуй свой танец, танцор","8,5"
Арифурэта: Сильнейший ремесленник в мире 2 — Спецвыпуск,"7,9"
Рандеву с жизнью 4,"8,9"
Любовь после порабощения мира,"7,8"
Восхождение чародея,"6,9"
Настоящая героиня,"8,2"
Рыцарь-скелет в другом мире,"8,4"
Офисная леди и малышка-призрак,"7,9"
Величайший Повелитель Демонов перерождается как типичное ничтожество,"7,2"
RPG недвижимость,"6,0"
Деаймон,"8,3"
У Коми проблемы с общением 2,"8,8"
Игра друзей,"9,0"
Перестану быть героем,"8,1"
Моя девушка не просто милашка,"7,6"
Поэзия теней: Пламя,"5,3"
Власть книжного червя 3,"8,9"
Девушка-целитель,"6,7"
Летний призрак,"9,1"
Стрелок с чёрной скалы: Падение,"7,0"
В симуляторе свиданий: Нелёгкая жизнь мобов в мире отомэ-игр,"8,6"
Восхождение героя щита 2,"7,6"
Истинная сила тысячи,"4,8"
Игра с нулевым счётом,"7,0"
Билд Дивайд: Белый код,"7,1"
Фанфары юности,"7,1"
Непостижимая Ахарэн,"8,3"
Жизнь девушки-карателя,"6,3"
Влюблённые учёные и научное доказательство любви 2,"8,4"
Сотворение жизни: Великий побег,"5,4"
Тусовщик Кунмин,"9,1"
Как воспитать героиню из обычной девушки: Финал,"8,4"
Городская дьяволица 2,"8,0"
Госпожа Кагуя: в любви как на войне 3,"9,3"
Реинкарнация безработного: История о приключениях в другом мире. Эрис — убийца гоблинов,"9,0"
Моя геройская академия: Миссия мировых героев,"8,8"
Озорная Такаги: Водные горки,"8,3"
Дети на орбите,"8,0"
Сказания Луминарии: Роковое перепутье,"5,5"
Дарованный OVA,"8,8"
Судьба/Великий приказ: Финальная сингулярность — Соломон,"8,3"
Судьба/Великий приказ: Камелот — Паладин,"8,4"
Судьба/Великий приказ: Камелот — Странствие,"8,2"
Динхайские хроники иного мира,"6,6"
Герой-рационал перестраивает королевство. Часть 2,"8,5"
Озорная Такаги 3,"8,9"
Клуб белых воротничков,"8,5"
Клан девяти,"7,3"
Контратака женщины-полицейского,"8,0"
Куроицу из отдела сверхчеловеческого развития,"6,7"
Досье лорда Эль-Меллоя II — Спецвыпуск,"8,7"
Рандеву с пулей: Кошмар или королева,"8,8"
Непутёвый ученик в школе магии: Воспоминания,"8,9"
Город предсказательниц,"7,9"
Очаровательная богиня еды 2,"8,6"
Аргеволлен,"6,8"
"В другом мире с мужчиной, обратившимся красоткой","8,1"
Мир Лидейл,"8,2"
Девушки на линии фронта,"6,7"
Цзычуань,"5,1"
Ориент,"7,6"
Связь принцесс: Повторное погружение 2,"7,9"
Суперзлодеи,"8,1"
Исчезновение Юки Нагато,"6,9"
Исчезновение Харухи Судзумии,"9,1"
Меланхолия Харухи Судзумии 2,"8,2"
Меланхолия Харухи Судзумии,"8,7"
Медленная петля,"8,0"
Сильнейший мудрец низшей эмблемы,"7,2"
Убийственная любовь,"8,5"
Знак!,"6,4"
Арата: Легенда,"7,2"
Признание Фумико,"7,7"
Любовь и ложь,"6,6"
Похороны Короля Роз,"7,3"
Аполлон: Дети на холме,"9,0"
Школьная форма Акэби,"8,2"
Эта фарфоровая кукла влюбилась,"9,0"
Сасаки и Мияно,"8,8"
Двадцать четвёртый округ Токио,"8,0"
Биско-ржавоед,"8,5"
Мемуары Ванитаса. Часть 2,"9,2"
Фантазия о Троецарствии: Духовность небес,"5,0"
Она представилась как ученик мудреца,"7,1"
Арифурэта: Сильнейший ремесленник в мире 2,"7,8"
Мини-футбол для мальчиков,"6,3"
Ржавые доспехи,"2,8"
Сказание о демонах сакуры: Сказание о Синсэнгуми OVA,"7,2"
Невеста чародея — Мальчик с Запада и всадник мглы,"9,0"
Баскетбол Куроко: Это лучший подарок!,"9,1"
Комета Люцифер,"7,0"
Баскетбол Куроко: Вбрасывание,"8,8"
Фронт кровавой блокады 2 OVA,"7,4"
"Пощади меня, великий господин!","9,0"
Руководство гениального принца по вызволению страны из долгов,"8,8"
Невероятное приключение ДжоДжо: Каменный океан,"8,6"
Повседневная жизнь в фотостудии времени,"8,4"
Повседневная жизнь бессмертного короля 2,"7,9"
Атака титанов: Финал. Часть 2,"9,2"
Бегущий по лезвию: Чёрный лотос,"5,5"
Кровь Триединства,"8,5"
Евангелион 3.0+1.01: Как-то раз,"8,8"
Повариха в доме майко,"7,3"
Топить в вине бушующее пламя печали,"8,7"
Бог войны,"5,3"
Кагинадо,"6,2"
Хеталия: Мировые звёзды,"7,5"
Путь домохозяина. Часть 2,"9,0"
Глубинное безумие: Потерянное дитя,"6,7"
Импульс мира 3,"8,7"
Принцессы-полудемоны — Вторая глава,"7,0"
"Клинок, рассекающий демонов: Бесконечный поезд","9,2"
Билд Дивайд: Чёрный код,"7,7"
Покемон: Секреты джунглей,"8,3"
Визуальная тюрьма,"7,8"
Далёкий паладин,"8,1"
Лучший в мире ассасин переродился в другом мире аристократом,"8,5"
У Коми проблемы с общением,"8,4"
Гордость оранжевых!,"5,9"
Платиновый предел,"7,3"
Такт. Опус Дестини,"8,7"
Воины Пограничья,"7,2"
Плод эволюции,"7,0"
"Луна, Лайка и Носферату","8,5"
Реинкарнация безработного: История о приключениях в другом мире. Часть 2,"9,4"
Один из отвергнутых: Изгой 4,"7,8"
Восемьдесят шесть. Часть 2,"9,5"
Девочка-батарейка из мира-перевёртыша,"6,0"
Заметки Теслы,"3,0"
Ночь по ту сторону треугольного окна,"7,6"
Давайте тоже слепим кружку 2,"6,5"
Отборочный проект,"8,0"
Тотальный гарем,"6,9"
Звёздные войны: Видения,"6,4"
Рейтинг короля,"9,0"
Чёрные метки,"7,6"
Мув-Лув: Альтернатива — Полное затмение,"7,6"
Мув-Лув: Альтернатива,"6,0"
Мутэкинг: Танцующий герой,"4,9"
Голубой период,"8,9"
Вечноцветущая сакура,"4,3"
"Клинок, рассекающий демонов: Квартал красных фонарей","9,5"
Мешки и пушки!,"7,6"
Мой сэмпай раздражает!,"8,8"
Божественная семейка,"7,0"
"Доки, ты справишься!","7,2"
Сказка о девушке эпохи Тайсё,"9,1"
Этот вампир постоянно умирает,"8,2"
Девушки-пони: Ёнкома,"6,2"
Девушки-пони: Славное дерби 2,"7,3"
Кафе из другого мира 2,"8,9"
Кафе из другого мира,"8,6"
Любит — не любит,"8,5"
"Меня выгнали из гильдии героев, потому что я был плохим компаньоном, поэтому я решил неспешно жить в глуши","8,1"
Агент времени: Спецвыпуск,"7,9"
Повесть о доме Тайра,"9,1"
"Девочка, которая видит это","8,4"
Записи о магии: Девочка-волшебница Мадока★Волшебство — Гайдэн 2,"7,2"
Магистр дьявольского культа 3,"9,4"
Я в тебе не сомневаюсь,"8,6"
Дефектные: Доступ запрещён,"6,9"
Унеси меня на Луну OVA,"9,1"
Ремейк нашей жизни: Рекап,"8,1"
Моё семнадцатое лето,"8,4"
Истребитель демонов: Поезд «Бесконечный»,"9,3"
Фена: Принцесса пиратов,"8,5"
Скрытые вещи. Фильм,"8,4"
Граница пустоты 8: Эпилог,"8,1"
Граница пустоты 7: Теория убийства — Часть 2,"8,7"
Граница пустоты 6: Мелодия забвения,"8,0"
Маг на полную ставку 5,"8,5"
Граница пустоты 5: Спираль парадокса,"8,8"
Граница пустоты 4: Храм пустоты,"8,3"
Мегатон,"4,8"
Так сложно любить отаку OVA,"9,0"
Красавица-воин Сейлор Мун: Вечность 2,"8,1"
Граница пустоты 3: Оставшееся чувство боли,"8,4"
Граница пустоты 2: Теория убийства  — Часть 1,"8,2"
Граница пустоты 1: Сад грешников,"8,1"
"Я, Цусима","8,8"
D_Cide: грёзы,"5,4"
Красавица-воин Сейлор Мун: Вечность,"7,8"
Месть Масамунэ OVA,"7,6"
Месть Масамунэ,"7,5"
Морская академия. Фильм,"7,8"
Морская академия OVA,"8,0"
Морская академия,"8,1"
Хроники расхитителей гробниц: Волшебное дерево Циньлина,"8,0"
Джахи не будет отчаиваться!,"7,8"
Смертоносный герцог и его чёрная горничная,"8,5"
Повесть о конце света,"8,1"
Дореми: В поисках волшебства,"8,3"
Когда плачут цикады: Выпускной,"8,1"
Детектив уже мёртв,"8,2"
Приоритет чудо-яйца: Спецвыпуск,"7,9"
Готика,"8,9"
Акватоп белого песка,"8,1"
Сумеречный разум 2041,"7,6"
Девушка из оперы!!,"8,3"
Парни из магазинчика,"7,5"
Я стою на миллионах трупов 2,"7,8"
Мифический дух: Хроники,"8,6"
Мои девушки,"7,3"
Битва через 5 секунд после встречи,"8,0"
Лунное путешествие приведёт к новому миру,"9,0"
Персиковый мальчик с того берега,"7,4"
Восемьдесят шесть: Спецвыпуск,"8,6"
Божества Идатэн в мирном поколении,"8,8"
Незнакомец на берегу моря,"8,9"
Тяжкий труд в подземелье,"8,7"
Моя реинкарнация в отомэ-игре в качестве главной злодейки 2,"8,2"
Агент времени: Поединок за руку дочери,"9,2"
Герой-рационал перестраивает королевство,"8,4"
Живая любовь! Суперзвезда!!,"7,9"
Почётная ученица в школе магии,"6,8"
Мемуары Ванитаса,"9,0"
Комендант общежития богинь,"7,8"
Размеренная жизнь чит-фармацевта: Создание аптеки в альтернативном мире,"6,5"
Ремейк нашей жизни,"8,6"
Лунный проект 2,—
Дракон-горничная госпожи Кобаяси 2,"8,9"
Ре-Мейн,"8,8"
Алый Нексус,"6,9"
Первый отряд: Момент истины,"7,2"
О моём перерождении в слизь 2. Часть 2,"9,2"
Двуличный братик Урамити,"8,8"
Фантастические дети,"6,9"
Госпожа Кагуя: в любви как на войне OVA,"8,4"
Клинок и душа,"7,0"
"Прощай, мой дорогой Крамер: Первое касание","6,3"
Низкоуровневый персонаж Томодзаки OVA,"7,6"
Рок-шоу! Звёзды!,"7,1"
Сонни Бой,"8,8"
Остров гигантских насекомых. Фильм,"5,8"
История семьи Аркана,"7,2"
Рыцари и магия,"8,3"
Сакэ Вакако,"8,2"
Ясукэ,"6,8"
Агент времени,"9,4"
"Зачем Вы здесь, учитель?! Спецвыпуск","8,2"
Вайолет Эвергарден. Фильм,"9,5"
Вечно ленивый Танака,"8,8"
Небесное вторжение,"8,1"
Феи Ранмару: Мы спасём твоё сердце,"5,6"
"Может, я встречу тебя в подземелье? 3 OVA","8,5"
Подземелье Токио,"7,1"
Девушки и танки: Война тайяки!,"7,4"
Гармония,"7,5"
Девушки и танки: Финал. Часть 3,"8,1"
Девушки и танки: Финал. Часть 2,"8,0"
Девушки и танки: Финал,"8,1"
Эхо террора,"9,0"
Афросамурай: Воскрешение,"8,0"
Афросамурай,"8,3"
Годзилла: Точка сингулярности,"7,8"
Цестус: Римский боец,"6,3"
"Добро пожаловать в ад, Ирума! 2","8,9"
Сальто назад!,"8,9"
"Романтическая комедия, в которой подруга детства ни за что не проиграет","7,0"
Токийские мстители,"8,8"
Путь домохозяина,"8,9"
Победа боевых атлетов ReSTART!,"4,7"
"Не издевайся надо мной, Нагаторо","8,2"
Повелитель тьмы: Другая история мира 2,"8,1"
СД Гандам: Герои мира,"2,8"
Восемьдесят шесть,"9,2"
Мир ограничивается тобой. Анимация,"6,9"
Айтю: На полпути к идолу,"7,6"
Другой мир,"8,0"
Необычное такси,"9,2"
Дневники слизи,"8,5"
Корзинка фруктов: Финал,"9,4"
"Для тебя, Бессмертный","9,1"
Я побрился. Затем привёл домой старшеклассницу,"8,4"
Семь рыцарей революции: Преемник героя,"6,7"
Хори и Миямура,"8,2"
Хикару и Го,"8,8"
Виви: Песнь флюоритового глаза,"9,2"
"Прощай, мой дорогой Крамер","6,1"
Пламенное кабадди,"8,2"
Чистый звук,"8,5"
Красавчики-детективы,"8,4"
Супер Каб,"8,6"
Давайте тоже слепим кружку,"7,1"
"Убивая слизней 300 лет, сама того не заметив, я достигла максимального уровня","7,7"
Карточные бои «Авангард»! Замещение,"4,7"
Нулевой Эдем,"8,1"
Смута: Принцесса снега и крови,"7,7"
Диназенон,"7,3"
Судьба/Ночь схватки: Прикосновение небес 3,"9,0"
Не называй это любовью!,"8,4"
Патриотизм Мориарти 2,"9,4"
Дом теней,"8,9"
Моя геройская академия 5,"8,5"
Дарованный. Фильм,"9,1"
Синий луч отражения,"5,8"
Зомбилэнд-Сага: Месть,"8,3"
Комбатанты будут высланы!,"8,8"
Дракон в поисках дома,"6,9"
Всемогущая магия святой,"8,3"
Мегалобокс 2,"9,0"
"Что, если чрезвычайно развитая ролевая игра с полным погружением вызывает большее привыкание, чем реальность","8,2"
Красный Марс,"8,2"
Би: Начало 2,"7,0"
Орган геноцида,"8,2"
Работяга,"7,4"
Война двенадцати,"7,9"
Отикоборэ: Фруктовый пирог,"7,0"
Шаман Кинг (2021),"8,3"
"Доктор Рамунэ, специалист по мистическим болезням","8,4"
Миёри и волшебный лес,"7,7"
Новый мастер кулинарии 2,"5,3"
Волшебник-воин Орфен 2,"7,4"
Деревенская глубинка 3,"8,8"
Токийское восьмибалльное,"8,9"
Панда большая и маленькая,"8,1"
Проза бродячих псов: Шуточные истории,"9,0"
Фуука,"7,9"
Доктор Стоун: Каменные войны,"9,2"
Лазурный путь: Малый вперёд!,"7,7"
Заметки Ятогамэ 3,"5,7"
Маг-целитель: Новый старт,"8,3"
Лог Горизонт 3,"8,2"
Приоритет чудо-яйца,"8,6"
Экс-Арм,"2,8"
О моём перерождении в слизь 2,"9,2"
Реинкарнация безработного: История о приключениях в другом мире,"9,4"
Инцидент Кэмоно,"8,9"
Импульс мира 2,"8,7"
SK8: На скейте в бесконечность,"9,3"
Хоримия,"9,3"
"Сильнейший герой, обученный в тайном подземелье","7,7"
"Да, я паук, и что?","8,3"
Проект Скард: Шрам Прэйтер,"7,2"
Путь назад,"7,3"
Низкоуровневый персонаж Томодзаки,"8,0"
Пять невест 2,"8,9"
Небесное бюро дизайна,"8,2"
Лагерь на свежем воздухе 2,"9,0"
Волейбольный клуб старшей школы Сэйин,"7,5"
Клетки за работой: Тёмная сторона,"8,9"
Клетки за работой 2,"8,7"
Обещанный Неверленд 2,"7,7"
Сага о Гортензии,"6,8"
Девушки в доспехах,"5,4"
Выдающиеся звери 2,"8,3"
О моём перерождении в слизь: Хината Сакагучи,"7,5"
Гэкидол,"5,1"
Пикник в Потусторонье,"8,3"
"История о пареньке из деревни, расположенной перед сложнейшим подземельем","7,3"
Семь смертных грехов: Яростное правосудие,"8,0"
Ведущие звёзды,"8,4"
Re: Жизнь в альтернативном мире с нуля 2. Часть 2,"8,7"
D4DJ: Первый микс,"7,7"
Рандеву с пулей: Смерть или пуля,"8,8"
Боевой континент 5,"8,6"
Боевой континент 4,"8,3"
Боевой континент 3,"8,5"
Боевой континент 2,"8,7"
Боевой континент,"8,4"
Пожиратель богов: Пролог,"7,5"
Пожиратель богов,"8,3"
Любовь под гипнозом,"8,0"
Магистр дьявольского культа: Чиби,"9,1"
Благословение небожителей,"9,4"
7 семян 2,"8,1"
Я пытался уговорить её в догэдза: Эпизод 13,"7,0"
Я пытался уговорить её в догэдза,"7,0"
Путешествие к бессмертию,"7,4"
Штурмовые ведьмы: Дорога на Берлин,"7,3"
Дворянство: Пробуждение,"8,9"
Дворянство: Начало разрушения,"8,7"
A3! Осень и зима,"8,1"
Бедственная правда,"7,8"
Разминка!,"5,7"
Сон в замке демона,"9,0"
Самурай-гимнаст,"8,7"
"День, когда я стала Богом","8,5"
Королевский рейд: Наследники воли,"6,9"
Дворянство,"8,7"
Сжечь ведьму,"8,0"
Патриотизм Мориарти,"9,3"
Магическая битва,"9,3"
Когда плачут цикады: Разгадки,"8,9"
Когда плачут цикады,"8,5"
Золотое божество 3,"9,2"
Живая любовь! Школьный клуб айдолов,"7,5"
Ми-ми-ми-мишка,"8,5"
Держись крепче! Скалолазки,"7,5"
Инуяся: Последний акт,"8,5"
Принцессы-полудемоны,"7,1"
Унеси меня на Луну,"8,9"
Я стою на миллионах трупов,"7,6"
Путешествие Элейны,"8,5"
Полководцы Сигрдрифа,"6,3"
"Гипнотический микрофон: рэп-баттл дивизионов, Райм-Анима","7,6"
Штурм Лили: Букет,"7,6"
Догма дракона,"7,2"
"Последнее поле брани между тобой и мной, или Святая война сотворения мира","8,2"
Западные ворота парка Икэбукуро,"8,5"
Кошечка из Сакурасо,"8,7"
Из нового света,"8,1"
Бездарная Нана,"8,0"
Избранный богами,"8,2"
Атака титанов: Финал,"9,3"
Когда плачут цикады: Карма,"8,3"
"Может, я встречу тебя в подземелье? 3","8,7"
22/7: Эпизод 13,"7,2"
Адати и Симамура,"7,9"
Акудама Драйв,"8,7"
Непутёвый ученик в школе магии: Гость,"8,5"
Закрыты в рамках. Геном [Прямая трансляция]: Узлы воспоминаний,"8,1"
Сводки бюро расследований,"7,2"
"Ты единственная, кто любит Великого Меня?! OVA","8,8"
Шерлок из Кабуки-тё OVA,"7,5"
Сквозь слёзы я притворяюсь кошкой,"8,7"
Волейбол!! К вершине 2,"9,3"
Моя геройская академия: Сделай это! Тренировка на выживание,"8,3"
Шестая зона,"8,4"
Олимпия Киклос,"5,6"
Кизнайвер,"8,5"
Легенда о Касиве,"4,4"
Любовь и продюсер,"7,1"
Невеста титана,"5,4"
Гибель Японии 2020,"8,0"
"Как и ожидалось, моя школьная романтическая жизнь не удалась 3","9,0"
Удзаки хочет тусоваться!,"8,3"
Мастера Меча Онлайн: Алисизация — Война в Подмирье. Рекап,"8,4"
Деми хотят поболтать,"8,4"
Питер Грилл и время мудреца,"6,7"
Пламенная бригада пожарных 2,"9,1"
Непризнанный школой владыка демонов,"8,6"
Жизнь без оружия 2,"8,8"
Маг на полную ставку 4,"8,5"
Джибиэйт,"5,1"
Доктор для девушек-монстров,"8,0"
Девушка на час,"7,8"
Бог старшей школы,"8,8"
Дека-данс,"8,5"
Бюро паранормальных расследований Мухё и Родзи 2,"8,2"
Лазурные огни,"7,7"
Формирование извращённой силы,"7,0"
Великий притворщик,"9,0"
Смертельный бильярд,"8,8"
Парад смерти,"8,8"
Re: Жизнь в альтернативном мире с нуля 2,"8,7"
Гостиница Окко,"7,4"
Баки 2,"8,6"
Сумеречная Дева и Амнезия: Дева и экзорцизм,"8,7"
Сумеречная Дева и Амнезия,"8,8"
Ты и я 2,"8,2"
Ты и я,"8,2"
Красная черта,"9,1"
Мастер китайского альманаха,"7,6"
Аргонавис из «Ура мечте!»,"6,7"
Легенда о Белом Коте,"7,7"
Буря потерь: Истребление цивилизации,"8,5"
Домовой дух Татами,"5,8"
Дюрарара!! 2: Продолжение — В ритме влюблённых,"8,2"
Дюрарара!! 2: Финал — Дюфуфуфу!!,"8,2"
Дюрарара!! 2: Финал,"8,7"
Дюрарара!! 2: Наследие — Горячее набэ согревает мне сердце,"8,1"
Дюрарара!! 2: Продолжение,"8,7"
Дюрарара!! 2: Наследие,"8,6"
Дюрарара!! Спешлы,"8,4"
Дюрарара!!,"8,6"
Народные сказки из будущего,"4,6"
Руководство сотен демонов,"8,3"
Один из отвергнутых: Изгой 3,"8,2"
7 самураев,"8,3"
Бог обмана,"7,4"
Мой «комплекс братика» морали не остановить! — Спешлы,"6,8"
Мой «комплекс братика» морали не остановить!,"7,0"
"В те годы, когда я работал в зоопарке","8,1"
Детективное агентство дятла,"7,4"
Дропкик злого духа: Эпизод 12,"7,3"
Дропкик злого духа 2,"7,7"
Вечеринка мёртвых: Истязаемые души,"7,2"
Вечеринка мёртвых: Пропавшая запись,"6,5"
Цугумомо 2,"8,6"
Цугумомо OVA,"8,3"
Цугумомо,"8,0"
Спой мне «Yesterday»,"8,3"
Кулинарные поединки Сомы: Пятое блюдо,"8,8"
Ванпанчмен 2: Спецвыпуски,"8,6"
Небесный избранник из древних сказаний,"6,2"
Госпожа Кагуя: в любви как на войне 2,"9,1"
Богатый детектив. Баланс: Неограничен,"8,9"
Поэзия теней,"5,7"
Волшебник-воин Орфен: Спецвыпуск,"7,3"
Рыбалка для школьниц после занятий,"8,6"
Корзинка фруктов 2,"9,2"
Связь принцесс: Повторное погружение,"7,3"
Царство 3,"9,2"
Проект «Белая Кошка»,"6,2"
Глейпнир,"8,2"
Моя реинкарнация в отомэ-игре в качестве главной злодейки,"8,4"
Гяру и динозавр,"5,7"
Арте,"8,6"
Литераторы и алхимики: Шестерни судей,"8,2"
Слушатели,"7,0"
Совершенно новый зверь,"8,8"
Башня Бога,"8,8"
"Восьмой сын, я так не думаю!","7,6"
Сакура: Новая война миров,"5,1"
Тамаёми,"7,1"
"Волны, слушайте меня","8,5"
Скрытые вещи,"9,0"
"Президент, пришло время для битвы!","6,3"
Чистюля! Аояма,"8,1"
Небо в цвету!,"8,8"
Фантазия Гранблю 2: Глава Джиты,"6,7"
"Ты же любишь мамочку, удары которой бьют по площади двойным уроном? OVA","7,0"
Этот замечательный мир! Багровая легенда,"9,1"
Семёрка идолов: Вибрато,"7,3"
Семёрка идолов,"7,3"
Семёрка идолов 2,"7,0"
Любовь с незапамятных времен,"7,0"
Власть книжного червя 2,"8,9"
Власть книжного червя OVA,"8,6"
Шоколад Купидона 2,"7,9"
Шоколад Купидона,"7,5"
"Вперёд, ко вселенной!!","7,5"
Магические войны,"7,0"
Добро пожаловать в NHK,"8,7"
Руководство по семенам фей,"7,6"
Антидот,"8,1"
"Ты – хозяин, я – слуга","7,5"
"Эй, люби меня всерьёз!","7,3"
Повседневная жизнь бессмертного короля,"8,3"
Монополия моего героя,"8,5"
Ну не может моя сестрёнка быть такой милой: Спешлы,"7,6"
Ну не может моя сестрёнка быть такой милой: Анимированный комментарий,"5,6"
Ну не может моя сестрёнка быть такой милой 2,"7,3"
Ну не может моя сестрёнка быть такой милой,"7,0"
По велению адской сестры: Отбытие,"7,9"
По велению адской сестры: Взрыв OVA,"7,9"
По велению адской сестры: Взрыв — Спешлы,"7,9"
По велению адской сестры: Взрыв,"8,0"
По велению адской сестры OVA,"8,1"
По велению адской сестры: Спешлы,"7,6"
По велению адской сестры,"7,8"
Удар крови: Королевство валькирии,"7,8"
Удар крови II,"7,9"
Удар крови III,"8,0"
Удар крови IV,"7,7"
Удар крови: Потерянное Святое Копьё,"7,4"
"В подземелье я пойду, там красавицу найду! 2 OVA","7,5"
Убийца гоблинов: Корона гоблина,"8,6"
Мастера Меча Онлайн: Алисизация — Война в Подмирье 2,"8,6"
Плод Грисайи,"8,5"
Рай Грисайи: Спешлы,"8,1"
Плод Грисайи: Спешлы,"7,6"
Лабиринт Грисайи: Спешл,"8,1"
Лабиринт Грисайи,"8,9"
Рай Грисайи,"8,6"
A3! Весна и лето,"8,0"
Люпен III: Ложь Фудзико Минэ,"6,9"
Дорохедоро,"8,9"
22/7,"7,9"
Бог разрушения за соседней партой,"6,9"
Квартет из альтернативного мира 2,"8,0"
Влюблённые учёные и научное доказательство любви,"8,4"
Ода «Корица» Нобунага,"7,5"
Волейбол!! Земля против воздуха,"9,0"
Волейбол!! К вершине,"9,3"
Ангельские ритмы! Другой эпилог,"8,4"
Ангельские ритмы! Спецвыпуски,"8,3"
Мой сосед Сэки-кун: Спешлы,"7,9"
Мой сосед Сэки-кун OVA,"7,7"
Мой сосед Сэки-кун,"8,5"
Рок-шоу! 3,"6,8"
Улыбайся на подиуме,"8,8"
Тама: Откуда же он взялся?,"7,7"
Загадочные дела ювелира Ричарда,"8,5"
Туалетный мальчик Ханако,"9,0"
Кошачий рай,"8,2"
Бесконечный Дендрограм,"7,7"
Разрушители,"7,2"
Небесные драконы,"8,0"
Номер 24,"8,3"
Паразит: Учение о жизни,"9,2"
Фантом: Реквием по Призраку — Спешлы,"7,3"
Фантом,"7,2"
Фантом: Реквием по Призраку,"8,6"
Добро пожаловать в Сэтон,"7,7"
Свяжись со мной!,"7,5"
"Не люблю боль, поэтому собираюсь вложить всё в защиту","8,4"
Руки прочь от киноклуба!,"9,1"
Ложные выводы,"8,2"
Межвидовые рецензенты,"8,9"
Заметки Ятогамэ 2,"6,4"
Перерождение для тебя,"5,9"
Слабый удар: Последняя стадия,"8,4"
Кровь-C: Специальное издание,"7,4"
Кровь-C: Последняя тьма,"7,7"
Кровь+,"8,3"
Кровь: Последний вампир,"7,3"
Кровь-C,"7,3"
Игра Дарвина,"8,7"
Малыши! Чёрный клевер,"6,7"
Влюблённый астероид,"7,5"
Сомали и Дух леса,"9,1"
Некий научный Рейлган S: Все важнейшие открытия делаются во время купания,"6,4"
Некий научный Рейлган S,"8,2"
Некий научный Рейлган T,"8,5"
Комнатный поход,"8,1"
Записи о магии: Девочка-волшебница Мадока★Волшебство — Гайдэн,"7,2"
"Если мой кумир споёт на Будокане, то я умру","7,7"
Ура мечте! 3,"7,7"
Волшебник-воин Орфен,"7,1"
Питомец,"7,6"
Иллюзия Хатэны,"6,3"
ID: Вторжение,"8,9"
.хак//Легенда сумеречного браслета,"5,8"
.хак//Переходная стадия,"5,3"
.хак//ЗНАК,"6,5"
Божественные куклы: Спешлы,—
Божественные куклы,"7,1"
Блудный сын: Спешлы,—
Блудный сын,"6,1"
Торадора! Секрет приготовления бэнто,"8,4"
Торадора! OVA,"8,1"
Торадора! SOS,"7,7"
Торадора!,"8,8"
Синий экзорцист,"8,6"
Синий экзорцист: Путешествие Куро,"8,6"
Синий экзорцист: Спешлы,"7,8"
Синий экзорцист: Нечестивый король Киото OVA,"8,2"
Синий экзорцист: Нечестивый король Киото,"8,5"
Синий экзорцист,"8,6"
Повелитель тьмы на подработке!,"8,5"
"Скучный мир, где не существует самой идеи похабных шуток","8,3"
Несокрушимая механическая кукла: Спешлы,"7,5"
Несокрушимая механическая кукла,"7,5"
Непутёвый ученик в школе магии: Изучаем магические предметы!,"6,5"
Непутёвый ученик в школе магии: Спецвыпуски,"6,8"
Непутёвый ученик в школе магии: Взывающая к звёздам,"8,5"
Непутёвый ученик в школе магии,"8,3"
Призрак в доспехах 2.0,"7,9"
Измерение «W»: Спешл ,"8,0"
Измерение «W»: Спешлы,"6,9"
Измерение «W»,"8,5"
Боевая академия города Астериск 2,"8,0"
Боевая академия города Астериск,"7,9"
Баскетбольный клуб! SS,"6,2"
Баскетбольный клуб! OVA,"6,2"
Баскетбольный клуб!,"6,7"
Грисайя: Призрачный курок,"6,7"
Белая коробка,"7,2"
Белая коробка: Спешлы,"5,7"
Белая коробка,"8,2"
В поисках потерянного будущего: В поисках потерянных летних каникул,"7,2"
В поисках потерянного будущего,"7,4"
Хроники Валькирии: Обреченные,"7,3"
Хроники Валькирии: Театр Валькирий,"5,6"
Хроники Валькирии,"8,3"
Тайна принцессы,"7,0"
Давайте сыграем: Спешлы,"7,2"
Давайте сыграем OVA,"7,4"
Физиология извращенцев OVA,"5,3"
Физиология извращенцев,"5,8"
Грабитель,"8,1"
Импульс мира,"8,3"
Радость подъема 3,"6,9"
Радость подъема: Воспоминания,"5,5"
Радость подъёма — Спешл,—
Радость подъема 2,"7,2"
Радость подъема: Каков стимул восхождения?,"6,3"
Радость подъема,"7,1"
Небесный метод: Дополнительный эпизод,—
Небесный метод: Спешл,"6,1"
Небесный метод,"7,4"
Яркая Тихая 3,"8,5"
